ID,Name,Class,Level,Value,Weight,Description
20000,小刀,20000,1,3,50,暴击率提高#%
20001,小刀,20000,2,6,50,
20002,小刀,20000,3,10,50,
20003,小刀,20000,4,15,50,
20004,小刀,20000,5,30,50,
,,,,,,
,,,,,,
20010,项链,20010,1,25,75,暴击伤害提高#%
20011,项链,20010,2,50,75,
20012,项链,20010,3,75,75,
20013,项链,20010,4,100,75,
20014,项链,20010,5,150,75,
,,,,,,
,,,,,,
20020,跑鞋,20020,1,25,100,移动速度提高#
20021,跑鞋,20020,2,50,100,
20022,跑鞋,20020,3,75,100,
20023,跑鞋,20020,4,100,100,
20024,跑鞋,20020,5,125,100,
,,,,,,
,,,,,,
20030,西瓜,20030,1,1,100,生命提高#
20031,西瓜,20030,2,2,100,
20032,西瓜,20030,3,3,100,
20033,西瓜,20030,4,4,100,
20034,西瓜,20030,5,5,100,
,,,,,,
,,,,,,
20040,增益卷轴,20040,1,10,100,增益效果持续时间提高#%
20041,增益卷轴,20040,2,20,100,
20042,增益卷轴,20040,3,30,100,
20043,增益卷轴,20040,4,50,100,
20044,增益卷轴,20040,5,100,100,
,,,,,,
,,,,,,
20050,斗篷,20050,1,50,70,武器闪避率提高#%
20051,斗篷,20050,2,100,70,
20052,斗篷,20050,3,150,70,
20053,斗篷,20050,4,200,70,
20054,斗篷,20050,5,300,70,
,,,,,,
,,,,,,
20060,铁铲,20060,1,10,120,对头目造成的伤害提高#%
20061,铁铲,20060,2,15,120,
20062,铁铲,20060,3,25,120,
20063,铁铲,20060,4,35,120,
20064,铁铲,20060,5,50,120,
,,,,,,
,,,,,,
20100,穿云珠,20070,1,5,90,箭矢伤害提高#%
20101,穿云珠,20070,2,10,90,
20102,穿云珠,20070,3,15,90,
20103,穿云珠,20070,4,25,90,
20104,穿云珠,20070,5,35,90,
,,,,,,
20110,扩域珠,20080,1,10,30,陷阱的范围增加#码
20111,扩域珠,20080,2,25,30,
20112,扩域珠,20080,3,50,30,
20113,扩域珠,20080,4,75,30,
20114,扩域珠,20080,5,100,30,
,,,,,,
20120,疾掷珠,20090,1,10,30,陷阱的冷却速度提高#%
20121,疾掷珠,20090,2,20,30,
20122,疾掷珠,20090,3,30,30,
20123,疾掷珠,20090,4,40,30,
20124,疾掷珠,20090,5,50,30,
,,,,,,
20130,瞬掷珠,20100,1,10,20,投掷陷阱时有#%的概率立即刷新冷却时间
20131,瞬掷珠,20100,2,20,20,
20132,瞬掷珠,20100,3,30,20,
20133,瞬掷珠,20100,4,40,20,
20134,瞬掷珠,20100,5,50,20,
